0,index,time,mass,velocity,momentum,kinetic energy
0,0,43822,10.0,94.84,948.4,44981.72
1,1,43822,7.0,64.05,448.35,14359.64
2,2,43822,75.0,27.7,2077.5,28792.07
0,0,43839,10.0,97.15,971.5,47194.13
1,1,43839,7.0,64.05,448.35,14359.64
2,2,43839,75.0,26.62,1996.5,26579.67
0,0,43856,10.0,97.15,971.5,47194.13
1,1,43857,7.0,64.05,448.35,14359.64
2,2,43857,75.0,26.62,1996.5,26579.67
0,0,43907,10.0,107.31,1073.09,57585.6
1,1,43907,7.0,33.67,235.69,3968.17
2,2,43907,75.0,26.62,1996.5,26579.67
0,0,44127,10.0,107.31,1073.09,57585.6
1,1,44127,7.0,33.67,235.69,3968.17
2,2,44127,75.0,26.62,1996.5,26579.67
0,0,44366,10.0,107.31,1073.09,57585.6
1,1,44366,7.0,33.67,235.69,3968.17
2,2,44366,75.0,26.62,1996.5,26579.67
0,0,44484,10.0,54.82,548.2,15029.89
1,1,44484,7.0,33.67,235.69,3968.17
2,2,44484,75.0,42.93,3219.75,69135.38
0,0,44689,10.0,54.82,548.2,15029.89
1,1,44689,7.0,33.67,235.69,3968.17
2,2,44689,75.0,42.93,3219.75,69135.38
0,0,44705,10.0,15.28,152.79,1168.24
1,1,44705,7.0,71.37,499.59,17829.83
2,2,44705,75.0,42.93,3219.75,69135.38
0,0,44859,10.0,15.28,152.79,1168.24
1,1,44859,7.0,71.37,499.59,17829.83
2,2,44859,75.0,42.93,3219.75,69135.38
0,0,44944,10.0,15.28,152.79,1168.24
1,1,44944,7.0,71.37,499.59,17829.83
2,2,44944,75.0,42.93,3219.75,69135.38
0,0,45232,10.0,15.28,152.79,1168.24
1,1,45232,7.0,71.37,499.59,17829.83
2,2,45232,75.0,42.93,3219.75,69135.38
0,0,45334,10.0,39.61,396.1,7844.85
1,1,45334,7.0,56.45,395.15,11153.21
2,2,45334,75.0,42.93,3219.75,69135.38
0,0,45470,10.0,39.61,396.1,7844.85
1,1,45470,7.0,98.66,690.62,34073.71
2,2,45470,75.0,35.1,2632.5,46214.88
0,0,45521,10.0,39.61,396.1,7844.85
1,1,45521,7.0,98.66,690.62,34073.71
2,2,45521,75.0,35.1,2632.5,46214.88
0,0,45555,10.0,39.61,396.1,7844.85
1,1,45555,7.0,98.66,690.62,34073.71
2,2,45555,75.0,35.1,2632.5,46214.88
0,0,45673,10.0,39.61,396.1,7844.85
1,1,45673,7.0,98.66,690.62,34073.71
2,2,45673,75.0,35.1,2632.5,46214.88
0,0,45758,10.0,39.61,396.1,7844.85
1,1,45758,7.0,85.94,601.57,25851.13
2,2,45758,75.0,38.1,2857.5,54437.46
0,0,45843,10.0,88.0,880.0,38723.53
1,1,45843,7.0,85.94,601.57,25851.13
2,2,45843,75.0,25.06,1879.5,23558.78
0,0,45845,10.0,88.0,880.0,38723.53
1,1,45845,7.0,85.94,601.57,25851.13
2,2,45845,75.0,25.06,1879.5,23558.78
0,0,45912,10.0,88.0,880.0,38723.53
1,1,45912,7.0,85.94,601.57,25851.13
2,2,45912,75.0,25.06,1879.5,23558.78
0,0,45997,10.0,88.0,880.0,38723.53
1,1,45997,7.0,85.94,601.57,25851.13
2,2,45997,75.0,25.06,1879.5,23558.78
0,0,46082,10.0,78.37,783.7,30712.03
1,1,46082,7.0,85.94,601.57,25851.13
2,2,46082,75.0,29.01,2175.75,31570.28
0,0,46134,10.0,78.37,783.7,30712.03
1,1,46134,7.0,85.94,601.57,25851.13
2,2,46134,75.0,29.01,2175.75,31570.28
0,0,46202,10.0,48.37,483.7,11703.11
1,1,46202,7.0,113.21,792.46,44860.05
2,2,46202,75.0,29.01,2175.75,31570.28
0,0,46269,10.0,48.37,483.7,11703.11
1,1,46269,7.0,113.21,792.46,44860.05
2,2,46269,75.0,29.01,2175.75,31570.28
0,0,46455,10.0,48.37,483.7,11703.11
1,1,46455,7.0,113.21,792.46,44860.05
2,2,46455,75.0,29.01,2175.75,31570.28
0,0,46556,10.0,48.37,483.7,11703.11
1,1,46556,7.0,113.21,792.46,44860.05
2,2,46556,75.0,29.01,2175.75,31570.28
0,0,46658,10.0,62.48,624.79,19524.38
1,1,46658,7.0,102.87,720.09,37038.78
2,2,46658,75.0,29.01,2175.75,31570.28
0,0,46725,10.0,62.48,624.79,19524.38
1,1,46725,7.0,102.87,720.09,37038.78
2,2,46725,75.0,29.01,2175.75,31570.28
0,0,46777,10.0,62.48,624.79,19524.38
1,1,46777,7.0,95.61,669.27,32000.12
2,2,46777,75.0,31.24,2343.0,36608.94
0,0,46828,10.0,62.48,624.79,19524.38
1,1,46828,7.0,95.61,669.27,32000.12
2,2,46828,75.0,31.24,2343.0,36608.94
0,0,46948,10.0,62.48,624.79,19524.38
1,1,46948,7.0,95.61,669.27,32000.12
2,2,46948,75.0,31.24,2343.0,36608.94
0,0,47065,10.0,67.23,672.3,22605.24
1,1,47065,7.0,90.89,636.23,28919.26
2,2,47065,75.0,31.24,2343.0,36608.94
0,0,47083,10.0,67.23,672.3,22605.24
1,1,47083,7.0,90.89,636.23,28919.26
2,2,47083,75.0,31.24,2343.0,36608.94
0,0,47133,10.0,67.23,672.3,22605.24
1,1,47133,7.0,90.89,636.23,28919.26
2,2,47133,75.0,31.24,2343.0,36608.94
0,0,47200,10.0,67.23,672.3,22605.24
1,1,47200,7.0,90.89,636.23,28919.26
2,2,47200,75.0,31.24,2343.0,36608.94
0,0,47303,10.0,67.23,672.3,22605.24
1,1,47303,7.0,90.89,636.23,28919.26
2,2,47303,75.0,31.24,2343.0,36608.94
0,0,47405,10.0,29.2,292.0,4264.69
1,1,47405,7.0,116.2,813.4,47259.81
2,2,47405,75.0,31.24,2343.0,36608.94
0,0,47454,10.0,29.2,292.0,4264.69
1,1,47455,7.0,116.2,813.4,47259.81
2,2,47455,75.0,31.24,2343.0,36608.94
0,0,47675,10.0,29.2,292.0,4264.69
1,1,47675,7.0,116.2,813.4,47259.81
2,2,47675,75.0,31.24,2343.0,36608.94
0,0,47708,10.0,29.2,292.0,4264.69
1,1,47708,7.0,132.25,925.75,61216.07
2,2,47708,75.0,24.57,1842.75,22652.68
0,0,47744,10.0,29.2,292.0,4264.69
1,1,47744,7.0,132.25,925.75,61216.07
2,2,47744,75.0,24.57,1842.75,22652.68
0,0,47793,10.0,29.2,292.0,4264.69
1,1,47793,7.0,121.11,847.77,51341.32
2,2,47793,75.0,29.45,2208.75,32527.44
0,0,48032,10.0,29.2,292.0,4264.69
1,1,48032,7.0,121.11,847.77,51341.32
2,2,48032,75.0,29.45,2208.75,32527.44
0,0,48100,10.0,29.2,292.0,4264.69
1,1,48100,7.0,121.11,847.77,51341.32
2,2,48100,75.0,29.45,2208.75,32527.44
0,0,48134,10.0,97.33,973.3,47375.27
1,1,48134,7.0,48.49,339.43,8230.74
2,2,48134,75.0,29.45,2208.75,32527.44
0,0,48187,10.0,97.33,973.3,47375.27
1,1,48187,7.0,48.49,339.43,8230.74
2,2,48187,75.0,29.45,2208.75,32527.44
0,0,48236,10.0,61.16,611.59,18707.74
1,1,48236,7.0,102.67,718.69,36898.27
2,2,48236,75.0,29.45,2208.75,32527.44
0,0,48321,10.0,97.12,971.2,47163.14
1,1,48321,7.0,102.67,718.69,36898.27
